Feed rate adjusted,COT,ROT,Rx. Pressure,Dense Bed T,Dil Bed T,Afterburn,Yield
111,295,525,2.37,725,744,18.6,41.1
120,283,524,2.5,716,746,30.4,42.4
121,278,525,2.5,720,755,34.5,39.7
126,277,525,2.53,714,755,41.4,40.7
125,277,525,2.54,727,763,36.1,38.8
124,275,525,2.53,733,767,34.2,37.2
124,273,524,2.53,726,764,38.9,36.6
124,273,525,2.53,723,766,43.1,36.5
124,275,525,2.53,719,763,44,36.3
125,275,525,2.54,717,763,46.2,35.3
124,275,525,2.54,717,763,46,34.8
125,275,525,2.54,719,762,42.6,34
125,275,525,2.54,714,758,44,33.6
125,275,525,2.54,715,762,46.6,33.5
124,275,525,2.55,717,763,45.5,33.5
125,275,525,2.55,721,764,42.8,30.9
124,275,527,2.54,722,764,42.3,27.6
124,275,528,2.53,724,765,40.9,25.8
124,275,528,2.54,724,765,41.1,25.9
124,275,528,2.54,723,765,42.6,25.4
124,276,528,2.55,721,766,45,25.2
124,275,528,2.61,718,765,47.3,29
124,275,528,2.57,714,766,52,32.2
123,276,526,2.53,720,761,41.1,33.7
125,275,528,2.58,713,765,51.7,32.9
125,275,528,2.57,712,761,48.4,32.6
125,277,528,2.56,712,761,49.3,32.4
125,277,527,2.59,707,762,54.8,33.3
127,277,525,2.58,712,762,49.7,32.1
128,276,525,2.6,712,761,49.9,32
130,276,525,2.61,711,763,52.2,31.9
129,277,525,2.61,713,762,50,26.5
126,280,525,2.63,710,762,52.6,28.1
126,279,524,2.63,715,763,48.3,28.5
126,277,524,2.63,716,765,48.5,28.2
121,277,525,2.57,711,757,46.2,28.1
121,277,525,2.56,715,755,40.5,28.7
124,277,525,2.57,712,759,47,28.7
123,273,525,2.56,714,757,43.3,27.5
122,272,525,2.56,713,758,44.8,28.5
122,272,525,2.56,709,754,44.5,30
123,277,525,2.56,710,754,43.7,30.2
126,278,523,2.58,712,755,43.3,31.4
125,277,523,2.58,714,757,42.6,31.7
87,282,514,2.19,685,723,38.4,22.3
85,286,513,2.01,694,726,32,22.3
92,282,515,2.07,697,732,34.8,24.6
122,277,524,2.49,711,758,46.9,40.2
128,278,523,2.54,709,757,47.5,41.6
128,279,523,2.52,709,755,46,40.8
128,279,523,2.53,710,757,46.8,41.1
128,279,523,2.54,711,756,44.8,41.8
129,279,523,2.55,713,758,44.5,42.2
122,277,524,2.52,710,756,46,31.7
130,276,523,2.54,712,756,44.3,41.3
130,277,523,2.55,713,758,45.3,41.7
130,277,523,2.56,717,761,44.6,41.7
130,277,523,2.57,708,757,49.3,42.1
130,277,524,2.57,707,759,51.9,42
130,277,523,2.58,707,760,53.2,41.2
130,277,524,2.59,709,761,51.7,40.9
131,275,524,2.6,711,760,48.9,40.9
131,276,524,2.58,707,758,51,40.9
130,276,523,2.57,711,759,48.2,40.2
130,276,523,2.6,703,758,54.7,40.4
130,276,523,2.59,709,760,50.4,39.3
131,276,523,2.57,708,760,52.1,40.3
131,276,523,2.57,710,761,50.9,40.5
131,276,523,2.57,709,758,49.5,40.2
131,276,523,2.57,710,759,48.7,39.9
130,276,523,2.59,710,762,51.7,39.9
131,276,523,2.59,717,763,46.8,40.5
130,275,523,2.6,708,760,51.7,40.9
131,275,523,2.6,713,761,48,40.6
131,275,523,2.61,712,760,48.1,40.1
131,275,523,2.58,709,758,49.3,39.8
130,275,523,2.56,709,757,48.1,39.9
131,275,523,2.58,718,760,42.5,39.7
131,275,523,2.58,712,759,47.6,39.7
131,275,523,2.58,712,759,46.6,39.6
131,275,523,2.57,715,760,44.2,40
131,275,523,2.59,715,761,45.4,40.6
131,275,523,2.57,715,761,45.7,40.1
131,275,523,2.59,717,760,43.2,40.3
130,276,523,2.58,711,760,48.5,40.5
130,275,523,2.59,716,760,43.8,40.1
130,272,524,2.61,714,760,45.7,40.2
129,273,524,2.64,708,755,47.7,42.3
128,275,523,2.6,715,759,43.3,40.7
127,272,523,2.6,723,764,40.6,40.5
128,276,523,2.59,726,765,39.1,40.9
128,277,523,2.57,722,763,40.5,41.3
128,277,523,2.58,719,761,42.6,41.3
128,279,523,2.58,721,764,43.1,41.9
128,279,523,2.57,719,762,43.1,42.2
128,267,523,2.57,722,763,40.7,40.4
127,266,523,2.56,718,759,41.2,39.9
128,274,523,2.55,723,762,39.4,39.6
128,275,523,2.56,722,761,39.1,39.4
128,277,523,2.56,724,763,38.4,39.3
127,279,522,2.58,725,765,39.4,39.4
127,275,522,2.58,725,763,38.3,39.4
126,276,522,2.58,725,766,40.6,39.5
124,277,522,2.51,721,760,38.5,36.1
110,277,519,2.42,716,749,32.9,34.8
88,289,509,2.22,705,727,22.3,24.2
83,295,509,2.05,699,722,22.9,20.9
86,286,514,2.06,706,730,23.7,25
86,283,513,2.09,703,728,25.7,26.7
86,282,513,2.07,704,730,25.7,26.1
86,282,516,2.02,700,731,30.8,28.8
86,282,517,2.01,700,735,35.2,29.5
86,282,516,1.99,695,736,40.8,28.1
86,282,516,2.01,698,733,35.5,29.6
86,283,515,2,693,734,41.7,29.9
113,278,520,2.39,714,751,37.2,35.4
86,281,513,2,692,735,43.5,28
86,281,513,2,692,739,46.8,28.9
86,283,512,2,688,741,52.9,28.8
86,283,513,1.99,688,744,56.9,29.1
86,282,514,1.99,687,749,61.6,29.1
86,282,515,1.99,684,735,51.2,29
86,281,515,1.97,686,737,51,27.7
84,282,513,1.97,691,735,44.2,26.9
84,282,513,1.99,693,740,46.7,26.7
84,282,513,2,692,746,53.7,26.1
84,282,514,1.96,693,747,53.7,25.6
84,282,514,1.98,690,746,56.3,30.6
84,282,514,2.03,692,742,50.1,33.3
84,282,514,2.02,690,736,46.2,33.5
84,282,514,1.99,690,732,42.2,33
84,282,515,2,693,737,43.7,32.6
84,282,514,2.02,693,740,47.6,32
84,282,514,2.01,683,722,38.6,30.6
80,283,512,2,686,724,37.8,30.4
80,282,512,1.98,684,722,37.7,30.2
80,282,512,2,683,715,32.6,30
80,282,512,2,681,717,36,30
80,281,512,1.99,680,721,41,30.2
80,280,513,2,679,716,36.7,30.6
80,277,512,2.01,680,720,40.1,31.7
80,277,512,1.98,679,717,38.3,32.4
87,277,511,2.03,681,721,39.2,32.1
91,279,510,2.04,683,728,44.4,33.7
85,281,513,2.01,688,733,45.1,30.3
91,280,511,2.03,684,729,45,33.6
88,282,510,2.02,685,725,39.5,31.4
86,281,510,2.02,683,719,35.9,30.4
85,282,510,2.02,681,717,36.5,29.3
92,282,511,2.13,687,725,38.8,25.2
101,279,516,2.26,699,739,40.3,27.8
105,279,518,2.29,695,732,36.9,28.5
112,277,515,2.34,696,732,35.5,27.3
119,276,516,2.38,702,739,36.6,28.1
120,276,516,2.38,704,740,35.7,29.1
120,276,516,2.37,705,739,34,29
120,276,516,2.37,708,741,33.8,29.2
120,276,515,2.38,709,742,33.2,29.2
120,276,514,2.37,708,741,32.9,29.8
120,276,514,2.38,709,743,34.2,31.8
120,276,514,2.38,713,745,32.3,31.8
122,276,515,2.39,713,746,32.9,31.3
126,278,519,2.44,711,749,37.5,34.1
130,279,518,2.45,711,750,39,35.4
130,279,518,2.46,710,750,40.3,35.4
130,279,518,2.45,708,748,39.6,35.8
130,275,516,2.44,706,744,38.3,34.8
130,276,517,2.45,710,747,36.6,35.1
130,276,517,2.44,708,745,36.8,35.2
130,276,517,2.43,705,743,38.1,35.5
130,275,517,2.42,706,743,37.7,35.5
130,275,516,2.42,710,746,36,35.2
123,274,515,2.36,714,746,32.2,34
124,275,518,2.39,710,745,34.4,35.5
126,278,518,2.41,708,742,33.5,36.3
117,277,515,2.34,703,740,36.5,32
126,278,519,2.41,706,741,35.2,37.5
126,276,520,2.42,706,742,35.4,38.2
126,276,519,2.42,702,739,37.3,38.7
125,277,516,2.4,703,739,35.9,37.4
125,276,515,2.39,705,742,37.1,37
126,275,519,2.39,704,742,37.7,34.2
127,277,519,2.42,705,742,36.9,34.7
127,277,516,2.39,712,746,34.2,36
127,276,516,2.39,710,745,34.3,34.4
127,275,516,2.41,708,742,34.1,34.8
123,275,515,2.4,703,739,36.1,38.2
125,275,515,2.38,709,744,34.5,35
124,272,515,2.39,708,742,33.8,35
123,276,515,2.39,705,740,35.1,36.2
123,275,515,2.39,706,742,36.2,35.7
122,278,514,2.38,700,736,36,37.8
123,276,515,2.38,711,745,33.8,37.5
123,274,514,2.39,715,749,33.9,37.2
124,272,514,2.4,713,748,34.9,38.1
124,272,514,2.4,712,747,34.2,38.6
124,272,514,2.41,712,745,33.6,38.9
79,275,510,1.99,684,712,27.6,27.3
80,277,510,2.01,681,711,30.2,27.9
80,277,510,2.01,681,711,29.8,28
80,277,510,2.01,683,713,29.1,28.4
118,275,515,2.34,703,738,34.3,35.3
87,277,512,2.1,681,718,36.7,28.2
115,276,517,2.41,711,748,37.4,36
121,276,514,2.42,709,748,39.6,35.1
122,276,514,2.42,708,746,37.7,33.8
111,281,514,2.34,701,737,36.1,32
92,289,513,2.17,679,716,37.2,28.2
84,292,512,2.12,675,712,36.8,25.4
84,294,512,2.13,681,720,39.1,26.1
84,290,512,2.14,682,722,40,26.3
84,287,512,2.13,681,722,41.5,26.6
84,285,512,2.13,684,726,42.1,26.5
84,285,512,2.14,686,727,40.6,26.3
84,284,512,2.15,680,727,47.1,26.6
92,285,512,2.21,681,733,52,29.1
112,281,512,2.35,696,749,52.5,34.4
121,277,513,2.41,707,750,43.3,36.7
123,277,512,2.42,714,751,37.1,36.5
127,277,512,2.44,714,752,38,36.9
126,276,512,2.43,711,749,37.3,37.1
120,263,512,2.41,721,753,32.3,35
120,264,512,2.42,715,748,32.6,35.3
120,262,510,2.39,716,750,33.4,35.1
120,262,510,2.39,719,751,32.2,35.3
120,263,510,2.39,717,750,32.8,34.4
120,262,510,2.39,717,749,32.7,34.8
120,261,510,2.4,716,749,32.6,35.4
120,261,511,2.41,719,753,34,34.2
120,263,510,2.4,716,748,32.2,34
120,265,510,2.4,721,753,31.9,34.2
120,264,510,2.42,720,753,33,34
109,275,512,2.32,703,740,37.7,32.3
120,265,510,2.41,717,750,33,33.7
120,265,510,2.42,716,749,33.3,33.8
120,264,510,2.42,713,746,33.1,34.5
119,263,510,2.41,714,745,31.2,34.5
111,262,510,2.34,711,741,30.3,32.1
120,260,510,2.42,720,752,31.9,34.4
119,260,510,2.41,719,750,30.7,33.7
122,270,510,2.42,720,750,30.2,33.8
120,272,510,2.4,715,745,30,34.5
122,272,510,2.43,721,751,30.7,34.4
125,272,510,2.46,720,752,32.3,34
125,272,510,2.45,720,751,31.4,32.3
124,270,510,2.41,716,748,31.1,31.5
125,267,510,2.42,718,749,31.8,31.6
124,269,510,2.43,718,749,30.5,31.2
124,268,510,2.44,715,747,31.9,32.3
125,268,510,2.45,717,750,32.5,33.2
114,270,510,2.36,711,741,30.4,32.5
115,271,510,2.37,713,744,30.7,32.3
125,269,510,2.44,718,750,32.6,35.4
126,269,510,2.46,717,748,31.4,34.8
124,269,510,2.44,713,745,31.7,34.3
126,269,510,2.44,717,749,31.4,33.2
127,270,510,2.44,716,749,32.5,34.2
127,269,510,2.43,714,745,31.4,33.1
126,269,510,2.43,717,747,29.7,32.8
